Alert ID,Ticker,Name,Description,Time,Webhook status
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:13 Price=24238,2026-04-15T08:45:02Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:13 Price=24238,2026-04-15T08:45:02Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",Buy,2026-04-15T08:43:01Z,Webhook delivery failed — request took too long and timed out
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",Strong Buy,2026-04-15T08:43:01Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T08:43:01Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call","{""chat_id"":""-1002140106262"",""text"":""NIFTY BUY Signal Generated
TimeFrame: 1 Minutes
Entry: 24237.65
SL: 24210.45
TP1: 24264.85
TP2: 24292
TP3: 24319.2""}",2026-04-15T08:43:01Z,Webhook delivery failed — request took too long and timed out
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",Buy,2026-04-15T08:43:01Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call","{""chat_id"":""-1002140106262"",""text"":""BSX260416C78200 BUY Signal Generated
TimeFrame: 1 Minutes
Entry: 315
SL: 269.4
TP1: 360.6
TP2: 406.25
TP3: 451.85""}",2026-04-15T08:43:00Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T08:43:00Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:08 Price=24258.5,2026-04-15T08:40:06Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:04 Price=24261,2026-04-15T08:36:01Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T08:36:00Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T08:24:00Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:49 Price=24199.05,2026-04-15T08:21:01Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:49 Price=24199.05,2026-04-15T08:21:01Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-15 13:40 Price=24192.35,2026-04-15T08:12:01Z,Webhook successfully delivered
